timestamp,object_type,confidence,center_x,center_y
2025-02-20 15:38:06,bottle,0.8892233967781067,893,708
2025-02-20 15:38:06,chair,0.7605186104774475,1682,359
2025-02-20 15:38:06,dining table,0.7086595296859741,980,710
2025-02-20 15:38:06,chair,0.6682471036911011,605,278
2025-02-20 15:38:06,chair,0.64450603723526,1239,125
2025-02-20 15:38:06,bottle,0.9207026958465576,1145,668
2025-02-20 15:38:06,bottle,0.8831273913383484,899,710
2025-02-20 15:38:06,chair,0.7903994917869568,1687,355
2025-02-20 15:38:06,dining table,0.6906604170799255,982,707
2025-02-20 15:38:06,chair,0.6387273669242859,1241,125
2025-02-20 15:38:06,bottle,0.9267600178718567,1153,669
2025-02-20 15:38:06,bottle,0.8948550224304199,909,710
2025-02-20 15:38:06,chair,0.7918919920921326,1687,355
2025-02-20 15:38:06,chair,0.7025658488273621,631,279
2025-02-20 15:38:06,dining table,0.6210662722587585,986,699
2025-02-20 15:38:06,chair,0.5871354341506958,886,212
2025-02-20 15:38:06,chair,0.5813794732093811,1243,126
2025-02-20 15:38:06,bottle,0.9238678216934204,1151,681
2025-02-20 15:38:06,bottle,0.8953695297241211,908,720
2025-02-20 15:38:06,chair,0.8215879797935486,627,295
2025-02-20 15:38:06,chair,0.791812539100647,1684,377
2025-02-20 15:38:06,dining table,0.7206680178642273,982,707
2025-02-20 15:38:06,chair,0.6035047769546509,878,213
2025-02-20 15:38:06,chair,0.5908502340316772,1234,135
2025-02-20 15:38:06,bottle,0.9210147857666016,1147,693
2025-02-20 15:38:06,bottle,0.9022206664085388,908,737
2025-02-20 15:38:06,chair,0.8086820840835571,1683,407
2025-02-20 15:38:06,chair,0.7482237219810486,622,317
2025-02-20 15:38:06,dining table,0.7344654202461243,983,729
2025-02-20 15:38:06,chair,0.6147927641868591,1230,147
2025-02-20 15:38:06,chair,0.5536030530929565,871,276
2025-02-20 15:38:06,chair,0.523867666721344,1432,119
2025-02-20 15:38:06,chair,0.5137028098106384,1884,133
2025-02-20 15:38:06,chair,0.8115886449813843,1680,440
2025-02-20 15:38:06,bottle,0.8028356432914734,905,754
2025-02-20 15:38:06,bottle,0.7370712161064148,1143,714
2025-02-20 15:38:06,chair,0.7193981409072876,630,357
2025-02-20 15:38:06,dining table,0.6425929069519043,991,719
2025-02-20 15:38:06,chair,0.6191683411598206,1219,163
2025-02-20 15:38:06,chair,0.8147622346878052,1678,498
2025-02-20 15:38:06,bottle,0.7561323642730713,905,786
2025-02-20 15:38:06,chair,0.7263283133506775,1224,202
2025-02-20 15:38:06,chair,0.6923424601554871,878,334
2025-02-20 15:38:06,dining table,0.6289840340614319,985,758
2025-02-20 15:38:06,bottle,0.5983597636222839,1144,747
2025-02-20 15:38:06,chair,0.5007990598678589,609,377
2025-02-20 15:38:06,chair,0.8548861742019653,1682,562
2025-02-20 15:38:06,bottle,0.785632312297821,913,822
2025-02-20 15:38:06,chair,0.7496939301490784,1238,259
2025-02-20 15:38:06,bottle,0.7485847473144531,1153,782
2025-02-20 15:38:06,chair,0.5957548022270203,628,477
2025-02-20 15:38:06,chair,0.587471604347229,889,386
2025-02-20 15:38:06,dining table,0.5646072030067444,995,796
2025-02-20 15:38:06,bottle,0.8886579871177673,920,862
2025-02-20 15:38:06,chair,0.7663939595222473,1243,329
2025-02-20 15:38:06,chair,0.681615948677063,897,441
2025-02-20 15:38:06,bottle,0.5574916005134583,1152,819
2025-02-20 15:38:06,dining table,0.5225385427474976,1013,816
2025-02-20 15:38:06,dining table,0.5165686011314392,314,516
2025-02-20 15:38:06,bottle,0.8770982623100281,929,904
2025-02-20 15:38:06,bottle,0.8142983913421631,1160,862
2025-02-20 15:38:06,chair,0.7995894551277161,1689,701
2025-02-20 15:38:06,chair,0.7211956977844238,907,502
2025-02-20 15:38:06,chair,0.6318193078041077,1253,395
2025-02-20 15:38:06,chair,0.5712791085243225,1416,367
2025-02-20 15:38:06,dining table,0.5072909593582153,321,583
2025-02-20 15:38:06,bottle,0.8859239220619202,921,930
2025-02-20 15:38:06,bottle,0.8007588386535645,1149,891
2025-02-20 15:38:06,chair,0.7390416264533997,1247,450
2025-02-20 15:38:06,chair,0.644838809967041,900,564
2025-02-20 15:38:06,chair,0.631938636302948,1682,753
2025-02-20 15:38:06,chair,0.6139597296714783,645,662
2025-02-20 15:38:06,dining table,0.5736268758773804,983,896
2025-02-20 15:38:07,bottle,0.8686503767967224,1141,908
2025-02-20 15:38:07,bottle,0.8582345843315125,913,947
2025-02-20 15:38:07,tv,0.8400826454162598,1403,136
2025-02-20 15:38:08,chair,0.8261240124702454,1238,477
2025-02-20 15:38:08,chair,0.8125425577163696,1680,788
2025-02-20 15:38:08,chair,0.7763168215751648,895,592
2025-02-20 15:38:08,chair,0.7156439423561096,347,501
2025-02-20 15:38:08,chair,0.6821547746658325,648,689
2025-02-20 15:38:08,chair,0.5156341195106506,1400,447
2025-02-20 15:38:08,chair,0.5000311732292175,1483,436
2025-02-20 15:38:08,bottle,0.9219764471054077,773,860
2025-02-20 15:38:08,bottle,0.8982838988304138,1015,822
2025-02-20 15:38:08,chair,0.8251789808273315,1142,357
2025-02-20 15:38:08,chair,0.7977691292762756,532,560
2025-02-20 15:38:08,chair,0.7404494285583496,792,466
2025-02-20 15:38:08,chair,0.6714704036712646,227,374
2025-02-20 15:38:08,dining table,0.598015546798706,260,554
2025-02-20 15:38:08,dining table,0.5111003518104553,970,867
2025-02-20 15:38:08,bottle,0.9230087399482727,1020,824
2025-02-20 15:38:08,bottle,0.9003754258155823,779,860
2025-02-20 15:38:08,chair,0.8023500442504883,1150,360
2025-02-20 15:38:08,chair,0.7721924185752869,801,471
2025-02-20 15:38:08,chair,0.6547567248344421,547,565
2025-02-20 15:38:08,chair,0.6528028249740601,234,379
2025-02-20 15:38:08,dining table,0.6075699329376221,265,559
2025-02-20 15:38:08,dining table,0.5535401701927185,976,819
2025-02-20 15:38:08,bottle,0.9170230031013489,1028,823
2025-02-20 15:38:08,bottle,0.9122806787490845,784,860
2025-02-20 15:38:08,chair,0.8455728888511658,1157,362
2025-02-20 15:38:08,chair,0.7913219928741455,809,482
2025-02-20 15:38:08,chair,0.7194718718528748,246,384
2025-02-20 15:38:08,chair,0.6059724688529968,555,567
2025-02-20 15:38:08,dining table,0.5782521367073059,269,559
2025-02-20 15:38:08,dining table,0.5724950432777405,980,870
2025-02-20 15:38:08,chair,0.5625196099281311,430,350
2025-02-20 15:38:08,tv,0.5072160363197327,1319,66
2025-02-20 15:38:10,bottle,0.8366163969039917,676,781
2025-02-20 15:38:10,bottle,0.8204182982444763,935,739
2025-02-20 15:38:10,chair,0.8018840551376343,1067,250
2025-02-20 15:38:10,chair,0.7590138912200928,449,443
2025-02-20 15:38:10,chair,0.6569646596908569,712,345
2025-02-20 15:38:10,bottle,0.8007012009620667,675,738
2025-02-20 15:38:10,bottle,0.7564615607261658,940,700
2025-02-20 15:38:10,chair,0.721264660358429,452,375
2025-02-20 15:38:10,chair,0.7147706151008606,1076,192
2025-02-20 15:38:10,chair,0.6286748051643372,718,294
2025-02-20 15:38:10,dining table,0.6076595187187195,964,774
2025-02-20 15:38:10,chair,0.5775907039642334,1600,463
2025-02-20 15:38:10,chair,0.506123423576355,1793,147
2025-02-20 15:38:10,dining table,0.5338558554649353,960,729
2025-02-20 15:38:10,bottle,0.9230806231498718,630,641
2025-02-20 15:38:10,bottle,0.8573295474052429,909,606
2025-02-20 15:38:10,chair,0.675626277923584,1587,315
2025-02-20 15:38:10,dining table,0.6537299752235413,960,709
2025-02-20 15:38:10,bottle,0.9232878088951111,660,632
2025-02-20 15:38:10,dining table,0.7857511043548584,961,705
2025-02-20 15:38:10,bottle,0.8928865790367126,697,657
2025-02-20 15:38:10,bottle,0.8163570761680603,971,628
2025-02-20 15:38:10,chair,0.7311421632766724,461,272
2025-02-20 15:38:10,dining table,0.6794735193252563,963,724
2025-02-20 15:38:10,bottle,0.8875386714935303,712,680
2025-02-20 15:38:10,bottle,0.8696938753128052,987,647
2025-02-20 15:38:10,chair,0.7253062129020691,476,300
2025-02-20 15:38:10,dining table,0.6904624104499817,965,745
2025-02-20 15:38:10,chair,0.5002119541168213,1294,127
2025-02-20 15:38:10,bottle,0.8766235709190369,717,676
2025-02-20 15:38:10,bottle,0.8419643044471741,992,641
2025-02-20 15:38:10,chair,0.8319289088249207,468,293
2025-02-20 15:38:10,dining table,0.7141387462615967,963,746
2025-02-20 15:38:10,bottle,0.8931291103363037,716,676
2025-02-20 15:38:10,bottle,0.8669145703315735,992,642
2025-02-20 15:38:10,chair,0.7716919183731079,469,295
2025-02-20 15:38:10,dining table,0.7248761653900146,961,746
2025-02-20 15:38:10,bottle,0.9089042544364929,727,679
2025-02-20 15:38:10,bottle,0.8815386295318604,1004,648
2025-02-20 15:38:10,dining table,0.714643120765686,963,749
2025-02-20 15:38:10,chair,0.6297295689582825,475,305
2025-02-20 15:38:10,chair,0.568110466003418,1112,158
2025-02-20 15:38:10,chair,0.5423542261123657,1624,386
2025-02-20 15:38:10,bottle,0.8882142305374146,712,676
2025-02-20 15:38:10,bottle,0.8610495328903198,989,644
2025-02-20 15:38:10,dining table,0.6840843558311462,964,746
2025-02-20 15:38:10,chair,0.6315797567367554,467,297
2025-02-20 15:38:10,chair,0.5028874278068542,1095,156
2025-02-20 15:38:10,bottle,0.8852605819702148,707,673
2025-02-20 15:38:10,bottle,0.8848621249198914,989,643
2025-02-20 15:38:10,dining table,0.694473147392273,965,747
2025-02-20 15:38:10,chair,0.6901232600212097,461,298
2025-02-20 15:38:10,bottle,0.8946064114570618,702,667
2025-02-20 15:38:10,bottle,0.8709568381309509,985,633
2025-02-20 15:38:10,chair,0.8582007884979248,449,289
2025-02-20 15:38:10,dining table,0.7062162756919861,963,744
2025-02-20 15:38:10,bottle,0.8967377543449402,699,665
2025-02-20 15:38:10,bottle,0.8868016600608826,984,632
2025-02-20 15:38:10,chair,0.8559244871139526,461,285
2025-02-20 15:38:10,dining table,0.687764585018158,963,743
2025-02-20 15:38:10,bottle,0.8960475325584412,690,659
2025-02-20 15:38:10,chair,0.8517157435417175,457,278
2025-02-20 15:38:10,bottle,0.8515770435333252,975,627
2025-02-20 15:38:10,dining table,0.6784250140190125,962,741
2025-02-20 15:38:10,dining table,0.504210889339447,221,281
2025-02-20 15:38:11,bottle,0.8935076594352722,695,658
2025-02-20 15:38:11,bottle,0.8608715534210205,978,623
2025-02-20 15:38:11,chair,0.8530063033103943,459,277
2025-02-20 15:38:11,dining table,0.626334011554718,964,733
2025-02-20 15:38:11,chair,0.546643853187561,755,211
2025-02-20 15:38:11,bottle,0.8975377678871155,702,656
2025-02-20 15:38:11,bottle,0.8619030714035034,986,622
2025-02-20 15:38:11,chair,0.8406683802604675,460,274
2025-02-20 15:38:11,dining table,0.6635099649429321,962,738
2025-02-20 15:38:11,bottle,0.8858886361122131,721,658
2025-02-20 15:38:11,bottle,0.876014232635498,1005,623
2025-02-20 15:38:11,chair,0.8240199685096741,463,283
2025-02-20 15:38:11,dining table,0.7083136439323425,963,744
2025-02-20 15:38:11,bottle,0.8949807286262512,738,661
2025-02-20 15:38:11,bottle,0.8841173648834229,1021,630
2025-02-20 15:38:11,chair,0.8032301664352417,469,287
2025-02-20 15:38:11,dining table,0.7169426679611206,964,747
2025-02-20 15:38:11,bottle,0.924424409866333,748,666
2025-02-20 15:38:11,bottle,0.8987213969230652,1031,635
2025-02-20 15:38:11,chair,0.7601640820503235,476,295
2025-02-20 15:38:11,dining table,0.6776281595230103,968,751
2025-02-20 15:38:11,bottle,0.9322226047515869,759,667
2025-02-20 15:38:11,bottle,0.8882286548614502,1040,633
2025-02-20 15:38:11,chair,0.7204936146736145,467,297
2025-02-20 15:38:11,dining table,0.6658807396888733,970,750
2025-02-20 15:38:11,bottle,0.9322193264961243,770,663
2025-02-20 15:38:11,bottle,0.9066122770309448,1050,634
2025-02-20 15:38:11,chair,0.8391851186752319,496,299
2025-02-20 15:38:11,dining table,0.6865511536598206,971,751
